,Name,Category,BIR Certificate Expiry Date,PCNC Certificate Expiry Date,Website
0,"A Child’s Trust is Ours to Nurture (ACTION), Inc.",Education - Supports Formal Schools/Students,09/10/2020,09/10/2020,https://www.action.org.ph/
1,"AAI Charity Foundation, Inc.",Education - Supports Formal Schools/Students,04/03/2021,11/12/2022,N/A
2,"Aboitiz Foundation, Inc.",Social Welfare and Development,07/27/2023,12/12/2023,https://aboitizfoundation.org/
3,"ABS-CBN Lingkod Kapamilya Foundation, Inc.",Social Welfare and Development,07/09/2020,07/24/2024,https://corporate.abs-cbn.com/lingkodkapamilya/
4,"Academe Foundation, Inc.",Education - Supports Formal Schools/Students,06/06/2020,06/06/2020,N/A
5,"Adamson- Ozanam Educational Institutions, Inc.",Education - Formal School,06/06/2022,06/06/2022,N/A
6,"Adarna Group Foundation, Inc.",Social Welfare and Development,03/22/2021,12/12/2023,www.agfi.com.ph
7,"AGAPP Foundation, Inc.",Education - Supports Formal Schools/Students,07/14/2022,07/14/2022,N/A
8,"Agustin and Anita Tanco Foundation, Inc.",Education - Supports Formal Schools/Students,10/15/2020,10/15/2020,N/A
9,"AIM Scientific Research Foundation, Inc.",Research,09/09/2021,09/09/2021,https://aim.edu/
10,"Alagang Kapatid Foundation, Inc.",Social Welfare and Development,11/27/2020,08/28/2024,http://www.alagangkapatid.com/
11,Alliance Graduate School (formerlyAlliance Biblical Seminary),Education - Formal School,03/02/2020,03/02/2020,https://www.ags.edu.ph/
12,"Alvarez Foundation-Philippines, Inc.",Social Welfare and Development,06/30/2022,05/09/2023,N/A
13,"AMY Foundation, Inc.",Social Welfare and Development,08/07/2019,08/07/2019,https://amyfoundationph.com/
14,"Ang Misyon, Inc.",Culture and Arts,08/30/2020,08/30/2020,https://angmisyon.org/
15,"Angelicum Charitable Foundation, Inc.",Education - Supports Formal Schools/Students,08/06/2020,08/06/2020,N/A
16,"Angelo King Foundation, Inc.",Education - Supports Formal Schools/Students,08/10/2020,10/25/2022,N/A
17,"Angels of God’s Agape Foundation (AGA Foundation), Inc.",Religious,08/29/2019,08/28/2020,N/A
18,"Antipolo Seminary Foundation, Inc.",Social Welfare and Development,02/18/2020,02/18/2020,http://asf.org.ph/
19,"Asia Society Philippine Foundation, Inc.",Culture and Arts,01/24/2024,06/26/2024,https://asiasociety.org/philippines
20,"Asian Institute of Maritime Studies, Inc.",Education - Formal School,02/15/2024,02/27/2024,https://aims.ph
21,"Asian Theological Seminary, Inc.",Religious,02/20/2022,02/20/2022,https://www.ats.ph/
22,"ASKI Foundation, Inc.",Social Welfare and Development,08/28/2021,11/12/2022,https://aski.com.ph/
23,"ASKI School of Knowledge, Incorporated",Education - Formal School,,11/12/2022,www.aski.com.ph
24,"Assisi Development Foundation, Inc.",Social Welfare and Development,09/17/2021,12/12/2023,http://www.assisi-foundation.org/
25,"Association of Foundations Phils., Inc.",Others,09/17/2020,12/06/2021,http://afonline.org/
26,"Assumption College, Inc.",Education - Formal School,11/08/2021,11/08/2021,https://www.assumption.edu.ph/
27,Ateneo de Davao University,Education - Formal School,04/05/2022,04/05/2022,http://www.addu.edu.ph/
28,"Ateneo de Iloilo, Inc.",Education - Formal School,06/13/2021,10/06/2021,http://www.smcs.adi.edu.ph/
29,"Ateneo de Manila University, Inc.",Education - Formal School,04/05/2022,05/04/2022,http://www.ateneo.edu/
30,Ateneo de Naga University,Education - Formal School,12/31/2020,12/31/2020,https://www.adnu.edu.ph/
31,"Ateneo de Zamboanga University, Inc.",Education - Formal School,03/31/2020,03/31/2020,https://www.adzu.edu.ph/
32,"Ateneo Scholarship Foundation, Inc.",Education - Supports Formal Schools/Students,06/28/2020,11/12/2024,https://ateneo.edu/alumni/ateneo-scholarship-foundation
33,"AY Foundation, Inc.",Education - Supports Formal Schools/Students,05/20/2021,09/27/2022,https://ayfoundation.com.ph/
34,"Ayala Foundation, Inc.",Social Welfare and Development,12/31/2020,12/31/2020,https://www.ayalafoundation.org/
35,"Balay Dalangpan Sg Kabataan Foundation, Inc.",Social Welfare and Development,02/04/2021,02/04/2021,http://balaydalangpan.org/
36,"Ballet Philippines Foundation, Inc.",Culture and Arts,05/08/2022,05/08/2022,https://ballet.ph/
37,"Bantayog Ng Mga Bayani Foundation, Inc.",Others,06/15/2018,12/12/2021,http://www.bantayog.org/
38,"Bato-Balani Foundation, Inc.",Social Welfare and Development,04/03/2024,11/12/2024,http://www.batobalani.org.ph/
39,"Bayan Academy for Social Entrepreneurship and Human Resource Development, Inc.",Social Welfare and Development,10/28/2020,01/23/2024,https://www.bayanacademy.org/
40,"BDO Foundation, Inc.",Social Welfare and Development,12/31/2020,12/31/2020,https://www.bdo.com.ph/foundation/home
41,"Beacon International School Foundation, Inc.",Education - Formal School,12/31/2020,12/31/2020,https://www.beaconschool.ph/
42,"Bert Lozada Foundation, Inc.",Youth Development and Sports,12/07/2020,05/01/2022,https://bertlozadafoundation.org/
43,"Biblical Seminary of the Philippines, Inc.",Education - Formal School,12/13/2021,09/27/2022,https://bsop.edu.ph/
44,"Bidlisiw Foundation, Inc.",Social Welfare and Development,09/17/2021,08/22/2023,https://www.bidlisiwfoundation.org/
45,"Bonifacio Art Foundation, Inc.",Culture and Arts,08/28/2020,08/28/2020,https://www.themindmuseum.org/about-us/bonifacio-art-foundation-inc
46,"BP Cebu Foundation, Inc.",Community Building/Development,01/06/2021,01/06/2021,https://bukaspaladcebufoundation.org/
47,"Buddhist Compassion Relief Tzu Chi Foundation Philippines, Inc.",Social Welfare and Development,09/17/2020,01/23/2024,http://www.tzuchi.org/
48,"Cameleon Association, Inc.",Social Welfare and Development,06/29/2020,08/28/2022,https://www.cameleon-association.org/?lang=en
49,"Cancer Care Registry Philippines Foundation, Inc.",Health – specialized,09/10/2020,09/10/2020,https://careph.org/
50,"CARD-MRI Development Institute, Inc.",Education – Non-Formal/ALS,08/04/2022,08/04/2022,https://cmdi.edu.ph/
51,"Care Channels, Inc.",Community Building/Development,10/08/2020,10/24/2021,https://carechannels.org/where-we-are/philippines/
52,"Caritas Manila, Inc.",Social Welfare and Development,11/11/2022,02/21/2023,http://www.caritasmanila.org.ph/
53,"Cartwheel Foundation, Inc.",Social Welfare and Development,12/31/2020,12/31/2020,http://cartwheelfoundation.org/
54,"Caucus of Development NGO Networks, Inc.",Others,10/26/2019,06/28/2022,https://code-ngo.org/
55,"Cavite Institute, Inc.",Education - Formal School,05/08/2022,05/08/2022,http://www.caviteinstitute.edu.ph/
56,"CBN Asia, Inc.",Religious,12/31/2020,12/10/2024,https://cbnasia.org/home/
57,"CCT Kaibigan Ministry, Inc",Social Welfare and Development,12/13/2020,08/22/2021,http://cctkaibigan.blogspot.com/
58,"CCT Training and Development Institute, Inc.",Education – Non-Formal/ALS,04/21/2017,04/21/2019,www.cct.org.ph
59,"Cebu City YLAC Free School Foundation, Inc.",Education - Formal School,04/05/2020,04/05/2020,https://ylacschoolcebucity.wordpress.com/about/
60,"Cebu Puericulture Center & Maternity House, Inc.",Health – public/community,09/12/2014,,N/A
61,"Cebuana Lhuillier Foundation, Inc",Education - Supports Formal Schools/Students,12/31/2020,12/31/2020,N/A
62,"Center for Community Transformation, Inc.",Social Welfare and Development,08/07/2020,10/12/2022,http://www.cct.org.ph/
63,"Center for Excellence in Special Education (Stepping Stone) Foundation, Inc.",Education – Non-Formal/ALS,12/14/2021,12/14/2021,https://www.steppingstone.ph/
64,"Center for Research and Communication Foundation, Inc.",Research,12/15/2022,12/15/2022,https://www.uap.asia/
65,"Center for the Prevention and Treatment of Child Sexual Abuse (CPTCSA), Inc.",Social Welfare and Development,04/11/2022,11/12/2022,http://cptcsaph.org/
66,Cerecare Philippines Foundation Inc.,Education – Non-Formal/ALS,11/06/2021,02/21/2023,http://cerecare.org.ph/
67,"CFC Ancop Global Foundation, Inc. (formerly CFC ANCOP TEKTON Foundation, Inc.)",Community Building/Development,10/08/2020,05/09/2023,https://www.cfcancop.org/
68,"Chiang Kai Shek College, Inc.",Education - Formal School,09/26/2023,09/26/2023,https://www.cksc.edu.ph/
69,"Child Health In Life and Development Foundation (C.H.I.L.D), Inc.",Health – specialized,12/31/2020,12/31/2020,https://www.icapcharityday.com/
70,"Child Protection Network Foundation, Inc.",Social Welfare and Development,08/28/2020,08/28/2020,https://www.childprotectionnetwork.org/
71,"Children International (Manila) Inc. (Formerly Abot-Kamay, Inc.)",Social Welfare and Development,01/31/2017,01/31/2017,http://www.childreninternational.ph/
72,Children International (Quezon City) Inc.,Social Welfare and Development,10/30/2019,10/30/2019,https://www.children.org/see-the-impact/where-we-work/asia-philippines
73,"Children’s Heart Foundation, Inc.",Health – public/community,08/23/2020,05/01/2022,http://www.childrensheart.org.ph/
74,"Children’s Hour Philippines, Inc.",Others,09/17/2021,01/25/2022,https://www.childrenshour.org.ph/
75,"Children’s Joy Foundation, Inc.",Community Building/Development,08/30/2020,08/30/2020,https://childrensjoyfoundation.org/
76,"Children’s Mission Philippines Hills of Grace Foundation, Inc.",Social Welfare and Development,02/12/2020,06/27/2021,http://www.cmp.ph/
77,"Chosen Children Village Foundation, Inc.",Social Welfare and Development,10/07/2021,03/20/2023,https://chosenchildrenfoundation.com/
78,"Christ The King College-San Fernando City, La Union",Education - Formal School,03/15/2022,03/15/2022,www.ckcluphil.net
79,"Christian Mission Service Philippines (CMSP), Inc.",Social Welfare and Development,12/28/2020,12/10/2022,http://cms.org.ph/
80,"Christ’s Commission Foundation Ministries, Inc.",Social Welfare and Development,02/20/2020,06/28/2022,N/A
81,"CI Philippines, Inc. (formerly CI-Philippines Housing Foundation, Inc.)",Social Welfare and Development,09/11/2022,12/10/2022,N/A
82,"Cityland for Social Progress Foundation, Inc.",Community Building/Development,12/17/2020,08/22/2023,N/A
83,"Cityland Foundation, Inc.",Social Welfare and Development,12/17/2020,02/25/2021,N/A
84,"Clara O. Corpus Foundation, Inc.",Education - Formal School,07/25/2020,08/28/2024,N/A
85,"Claudio Teehankee Foundation, Inc. (form. Chief Justice Claudio Teehankee Memorial Foundation, Inc.",Education - Formal School,05/30/2020,11/12/2022,teehankeeruleoflaw.org
86,"Cleft Foundation, Inc.",Health – public/community,02/27/2020,02/26/2023,www.cleft-foundation.com
87,"Coalition for Bicol Development, Inc.",Community Building/Development,03/20/2020,02/27/2022,N/A
88,"Coastal Conservation and Education Foundation, Inc.",Environment/Biodiversity,08/23/2020,08/28/2022,https://www.coast.ph/
89,"Coca-Cola Foundation Philippines, Inc.",Education - Supports Formal Schools/Students,12/26/2020,09/26/2023,coca-colafoundation.ph
90,Community and Family Services International,Social Welfare and Development,11/27/2020,12/12/2023,www.cfsi.ph
91,"Concordia Children’s Services, Inc.",Social Welfare and Development,10/22/2020,06/27/2023,https://concordiachildrens.org/
92,"Conrado and Ladislawa Alcantara Foundation, Inc.",Social Welfare and Development,08/23/2020,05/15/2021,https://alcantarafoundation.wordpress.com/
93,"Consuelo Chito Madrigal Foundation, Inc.",Social Welfare and Development,03/12/2020,08/17/2020,chitomadrigalfoundation.org
94,"Cor Jesu College Br. Polycarp Institute for Community Development Foundation, Inc.",Community Building/Development,09/10/2020,09/10/2020,http://cjc-bsh.org/
95,"CRIBS Foundation, Inc.",Social Welfare and Development,09/09/2021,09/09/2021,www.cribsfoundation.com
96,"Crocodylus Porosus Phils., Inc.",Environment/Biodiversity,11/15/2021,08/23/2022,philippinecrocodile.com.ph
97,"Culion Foundation, Inc.",Health – public/community,08/07/2019,12/10/2024,www.culionfoundation.org
98,"CURE Philippines, Inc.",Health – public/community,09/09/2021,09/09/2021,https://cure.org/philippines/
99,"Dalta Jonelta Foundation, Inc.",Health – public/community,04/14/2022,11/12/2022,www.djfi.org
100,"DANA Foundation, Inc.",Education - Supports Formal Schools/Students,03/05/2022,05/01/2022,www.danafoundationph.com
101,"De La Salle Araneta University, Inc.",Education - Formal School,09/09/2021,09/09/2021,http://dlsau.edu.ph/
102,"De La Salle-College of Saint Benilde, Inc.",Education - Formal School,02/02/2023,02/02/2023,www.benilde.edu.ph
103,"De La Salle Lipa, Inc.",Education - Formal School,12/14/2021,12/14/2021,dsls.edu.ph
104,"De La Salle – Santiago Zobel School, Inc.",Education - Formal School,06/13/2023,06/13/2023,www.dlszobel.edu.ph
105,"De La Salle University, Incorporated",Education - Formal School,08/29/2023,08/29/2023,www.dlsu.edu.ph
106,"De La Salle University Science Foundation, Inc.",Education - Supports Formal Schools/Students,01/09/2022,12/12/2023,https://www.dlsu.edu.ph/affiliates/sfi/
107,"De Los Santos Family Foundation, Inc. (form.Tomas & Betty De Los Santos Foundation)",Education - Supports Formal Schools/Students,07/18/2021,07/18/2021,N/A
108,"Defending Family Values Foundation, Inc.",Social Welfare and Development,07/09/2020,03/30/2022,N/A
109,"Diwa ng Magdalo Foundation, Inc.",Education - Supports Formal Schools/Students,07/25/2020,09/25/2022,www.magdalofoundation.org
110,"DMIRIE Foundation, Inc.",Social Welfare and Development,12/15/2020,12/15/2020,www.dmiriefoundation.com
111,"Don Antonio O. Floirendo, Sr. Foundation, Inc.",Social Welfare and Development,07/19/2021,06/26/2024,http://www.anflocor.com/aof/
112,"Don Bosco Boy’s Home, Inc.",Social Welfare and Development,09/17/2021,11/12/2022,https://sites.google.com/site/donboscoboyshomeliloan/home
113,"Don Bosco College, Inc.",Education - Formal School,11/21/2023,05/01/2024,donboscocanlubang.edu.ph
114,"Don Bosco Foundation of the Philippines, Inc.",Education – Technical/Vocational,04/14/2022,12/10/2024,N/A
115,"Don Bosco Technical Institute Tarlac, Inc.",Education – Technical/Vocational,10/11/2021,10/11/2021,https://www.donboscotarlac.com/
116,"Don Bosco Technology Center, Inc.",Education – Technical/Vocational,08/02/2021,08/02/2021,www.dbts-cebu.edu.ph
117,"Don Bosco Training Center – San Jose, Inc.",Education – Technical/Vocational,12/28/2011,,N/A
118,"Dr. Pablo O. Torre Foundation, Inc.",Social Welfare and Development,03/01/2018,03/30/2020,https://dpotfi.wordpress.com/
119,"Du-Baladad and Associates (DBD Law) Foundation, Inc.",Education - Supports Formal Schools/Students,10/23/2020,12/10/2022,https://www.bdblaw.com.ph/index.php/foundation-home
120,"Dualtech Training Center Foundation, Inc.",Education – Technical/Vocational,12/14/2021,12/14/2021,www.dualtech.org.ph
121,"Dynamic Teen Company-Making a Difference, Inc.",Education - Supports Formal Schools/Students,,07/24/2022,www.dtc.org.ph
122,"DZRV Radio Veritas Foundation, Inc.",Social Welfare and Development,05/15/2021,11/12/2022,N/A
123,"E. Zobel Foundation, Inc.",Social Welfare and Development,09/17/2021,12/10/2024,www.enriquezobelfoundation.org
124,"Earth Day Network Philippines, Inc.",Environment/Biodiversity,05/15/2020,05/15/2020,http://www.earthdayphils.org
125,"Educational Research and Development Assistance (ERDA), Foundation, Inc.",Social Welfare and Development,03/20/2020,05/09/2023,www.erda.ph
126,Emergency Rescue Unit Foundation Phil. Inc.,Social Welfare and Development,09/10/2021,02/27/2024,www.eruf161.com.ph
127,"End Child Prostitution, Child Pornography, and the Trafficking of Children for Sexual Purposes (ECPAT-Philippines), Inc.",Social Welfare and Development,12/10/2020,11/12/2022,https://www.endslaverynow.org/ecpat-philippines
128,"ERDA TECH Foundation, Inc.",Education – Technical/Vocational,09/09/2021,09/09/2021,www.erdatech.edu.ph
129,"Ernesto Asay Yu Foundation, Inc.",Education - Supports Formal Schools/Students,08/30/2020,08/30/2020,www.eayfph.org
130,"Eugenio Lopez Foundation, Inc.",Culture and Arts,12/31/2020,12/31/2020,www.lopez-museum.com
131,"European International School, Inc.",Education - Formal School,02/08/2023,07/25/2023,www.eis-manila.org
132,"Evangelion Foundation, Inc.",Religious,09/22/2018,10/25/2022,evangelionfoundation.org
133,"Everest Academy, Inc.",Education - Formal School,10/10/2021,10/10/2021,www.everestmanila.com
134,"Every Nation Leadership Institute, Inc. (formerly Victory Leadership Institute, Inc.)",Education - Formal School,10/19/2023,10/19/2023,www.enli.org.ph
135,"F.U.S.E. Foundation (For the Upgrading of Standard of Education),Inc.",Education - Supports Formal Schools/Students,08/30/2022,05/09/2023,www.fuse.org.ph
136,"Faith Academy, Inc.",Education - Formal School,03/06/2021,03/06/2021,https://faith.edu.ph/
137,"Family Cooperation Health Services Foundation, Inc.",Health – public/community,03/26/2020,06/26/2022,www.famcohsef.org
138,"Far East Broadcasting Company (Philippines), Inc.",Religious,08/28/2023,12/12/2023,www.febc.org.ph
139,"Febias College of Bible, Inc.",Education - Formal School,05/08/2023,09/26/2023,www.febias.edu.ph
140,"Feed The Children Philippines, Inc.",Social Welfare and Development,03/05/2020,10/15/2020,www.ftcphils.org
141,"Fei Hua Good News Foundation, Inc.",Others,08/03/2020,08/03/2020,N/A
142,"Felicidad T. Sy Foundation, Inc.",Others,12/31/2020,01/23/2024,N/A
143,"Felix G. Yusay Foundation, Inc.",Social Welfare and Development,12/08/2019,02/21/2021,N/A
144,"Fellowship of Christians in Government, Inc. (FOCIG)",Others,06/24/2022,07/24/2022,www.focig.com
145,"FFCCCII Foundation, Inc.",Social Welfare and Development,05/09/2021,02/22/2022,www.ffcccii.com.ph
146,Filipino Wars Veterans Foundation (FILVETS) Incorporated,Social Welfare and Development,07/07/2020,07/07/2020,www.filvets.net
147,"Fo Guang Shan Foundation, Inc.",Education - Formal School,08/30/2020,08/30/2020,https://guangmingcollege.edu.ph/
148,"Food for Hungry Minds School, Inc.",Education - Formal School,10/26/2022,05/09/2023,www.foodforhungryminds.org
149,"Foundation for Information Technology Education and Development, Inc.",Education - Supports Formal Schools/Students,10/18/2022,05/19/2023,www.fit-ed.org
150,"Foundation for Liberty and Prosperity, Inc.",Research,04/05/2020,02/26/2023,http://libpros.com
151,"Foundation for the Development of Agusanons, Inc.",Social Welfare and Development,10/26/2020,12/12/2023,https://www.facebook.com/fdai.ph/
152,"Fr. Al’s Children Foundation, Inc.",Social Welfare and Development,06/15/2020,06/15/2020,www.facfi.org.ph
