,Name,Category,BIR Certificate Expiry Date,PCNC Certificate Expiry Date,Website
307,"Philam Foundation, Inc.",Education - Supports Formal Schools/Students,09/27/2020,02/22/2022,www.philamlife.com
308,"Philippine Academy of Rehabilitation Medicine, Rehabilitation Advocacy, Research and Education (PARM-RARE) Foundation, Inc.",Health – public/community,01/06/2021,01/06/2021,parm.org.ph
309,"Philippine Bible Society, Inc.",Religious,08/31/2020,01/23/2022,www.bible.org.ph
310,"Philippine Business for Social Progress, Inc.",Social Welfare and Development,12/31/2020,12/31/2020,www.pbsp.org.ph
311,"Philippine Cancer Society, Inc.",Health – public/community,12/06/2020,08/02/2021,www.philcancer.org.ph
312,"Philippine Center for Population and Development, Inc.",Research,05/19/2019,,http://www.pcpd.ph
313,"Philippine Cultural College, Inc.",Education - Formal School,09/24/2020,09/24/2020,www.philippineculturalcollege.edu.ph
314,"Philippine Disaster Resilience Foundation, Inc. (form. Phil. Disaster Recovery Foundation)",Disaster Relief and/or Rehabilitation,12/31/2020,07/25/2023,www.pdrf.org
315,"Philippine Eagle Conservation Program Foundation, Inc.",Environment/Biodiversity,08/04/2022,08/04/2022,www.philippineeagle.org
316,"Philippine Institute of Certified Public Accountants Foundation, Inc.",Education - Supports Formal Schools/Students,07/15/2020,07/24/2022,N/A
317,"Philippine Jesuit Aid Association, Inc.",Others,07/24/2020,04/26/2022,www.phjesuits.org
318,"Philippine Jesuit Prison Service Foundation, Inc.",Social Welfare and Development,10/28/2021,08/28/2024,www.philippinejesuitprisonservice.org
319,"Philippine K9 Search and Rescue Foundation, Inc.",Education – Technical/Vocational,09/12/2014,,N/A
320,"Philippine National Police Foundation, Inc.",Social Welfare and Development,02/22/2024,02/22/2024,http://www.pnpfoundation.org/
321,"Philippine Organized Workforce for Economic Recovery Foundation (Power Foundation), Inc.",Education – Technical/Vocational,06/13/2021,06/13/2021,N/A
322,"Philippine Province of the Good Shepherd, Inc.",Religious,04/19/2020,08/23/2022,www.goodshepherdsisters.org.ph
323,"Philippine Relief and Development Services (PHILRADS), Inc.",Disaster Relief and/or Rehabilitation,06/06/2020,06/06/2020,www.philrads.org
324,"Philippine S & T Development Foundation-Manila, Inc.",Education - Supports Formal Schools/Students,05/20/2022,09/26/2023,N/A
325,"Philippine Science High School Foundation, Inc.",Education - Formal School,03/01/2021,03/01/2021,N/A
326,"Philippine Sugar Research Institute Foundation, Inc. (PHILSURIN)",Research,07/02/2020,01/22/2025,N/A
327,"Philippine Tuberculosis Society, Inc.",Health – specialized,03/06/2020,07/26/2020,www.ptsi.org.ph
328,"PHILSAGA High School Foundation, Inc.",Education - Formal School,12/15/2022,12/15/2022,N/A
329,"Philseven Foundation, Inc.",Education – Non-Formal/ALS,07/18/2021,07/18/2021,www.philseven.com
330,"PHINMA Foundation, Inc.",Education - Supports Formal Schools/Students,03/08/2021,01/23/2022,www.phinmafoundation.org
331,"Physicians for Peace Philippines, Inc",Health – public/community,06/22/2022,06/26/2022,www.physiciansforpeace.ph
332,"Pilipinas Shell Foundation, Inc.",Social Welfare and Development,04/05/2022,04/05/2022,www.pilipinasshellfoundation.org
333,"Pilipinas Una sa Lahat (Cebu) Foundation, Inc.",Education - Supports Formal Schools/Students,08/15/2019,08/28/2022,N/A
334,"Pioneer Foundation, Inc.",Education - Supports Formal Schools/Students,08/27/2021,06/27/2023,www.pioneer.com.ph
335,"PLDT-Smart Foundation, Inc.",Social Welfare and Development,12/31/2020,02/26/2025,pldtsmartfoundation.org.
336,"Pondong Batangan Community Foundation, Inc.",Education - Supports Formal Schools/Students,10/08/2020,12/06/2021,www.archlipa.org
337,"President Emilio Aguinaldo Medical Foundation, Inc.",Health – public/community,,11/12/2022,N/A
338,"Primary Structures Educational Foundation, Inc.",Education – Technical/Vocational,12/31/2020,02/26/2025,www.skills.com.ph
339,"PRO-LIFE Philippines Foundation, Inc.",Others,07/15/2020,07/15/2020,prolife.org.ph
340,"PSC Foundation, Inc.",Social Welfare and Development,09/22/2019,09/22/2019,N/A
341,"PTC CSJ Foundation, Inc.",Social Welfare and Development,12/15/2020,12/15/2020,www.ptccsj.org.ph
342,"Punta Fuego Village Foundation, Inc.",Education - Supports Formal Schools/Students,08/27/2021,08/27/2021,N/A
343,"Radio Mindanao Network Foundation, Inc.",Education - Supports Formal Schools/Students,10/23/2020,11/12/2020,https://rmn.ph/foundation/
344,"Ralph Edmund Spencer Foundation, Inc.",Social Welfare and Development,11/07/2020,11/07/2020,matlingindustrial.com
345,"Ramon Aboitiz Foundation, Inc.",Social Welfare and Development,07/09/2020,06/22/2021,www.rafi.org.ph
346,"RC Manila Foundation, Inc.",Social Welfare and Development,12/11/2019,12/10/2020,https://rcmanila.org/rcmfi/
347,"RD Foundation, Inc.",Social Welfare and Development,11/09/2021,11/09/2021,www.rdfoundation.org.ph
348,"REACH, Inc. (Resources Employment and Community Horizons, Inc.)",Social Welfare and Development,08/21/2021,08/21/2021,N/A
349,"RealLife Foundation, Inc.",Education - Supports Formal Schools/Students,09/28/2020,05/09/2021,https://www.reallife.ph/
350,"Regina Rica Foundation, Inc.",Social Welfare and Development,11/21/2019,05/24/2022,www.reginarica.org
351,"Reintegration for Care & Wholeness (RCW) Foundation, Inc.",Social Welfare and Development,03/06/2022,05/01/2024,N/A
352,"Repertory Philippines Foundation, Inc.",Culture and Arts,12/11/2019,12/10/2022,www.repertoryphilippines.ph
353,"Resorts World Philippines Cultural Heritage Foundation, Inc.",Education - Supports Formal Schools/Students,08/15/2021,08/15/2021,N/A
354,"Resources for the Blind, Inc.",Education – Non-Formal/ALS,08/10/2020,08/10/2020,www.blind.org.ph
355,"Rise Against Hunger Philippines, Inc.",Social Welfare and Development,02/14/2021,02/14/2021,www.riseagainsthunger.org.ph
356,"Ronald McDonald House Charities of the Philippines, Inc.",Social Welfare and Development,08/05/2024,08/05/2024,www.mcdonalds.com.ph
357,"Rotary Club of Makati, Inc.",Education - Supports Formal Schools/Students,06/26/2020,09/25/2022,www.makatirotary.org
358,"Roxas Foundation, Inc.",Social Welfare and Development,05/25/2018,12/10/2020,N/A
359,"RTN Foundation, Inc.",Education - Supports Formal Schools/Students,09/13/2021,01/23/2024,N/A
360,"Ruben M. Tanseco, S.J. Center for Family Ministries Foundation, Inc.",Education – Non-Formal/ALS,06/28/2021,06/28/2021,www.cefam.ph
361,"Safer River, Life Saver Foundation, Inc.",Environment/Biodiversity,10/22/2021,08/23/2022,http://ssls.liceo.edu.ph
362,"Saint Martin de Porres Center, Inc.",Social Welfare and Development,10/06/2020,10/06/2020,N/A
363,"Saklolo at Gabay ng Ina at Pamilya (SAGIP), Inc.",Social Welfare and Development,03/12/2020,03/12/2020,N/A
364,"San Antonio Formation and Enhancement Center, Inc.",Social Welfare and Development,02/27/2020,02/26/2023,N/A
365,"San Beda College Alumni Foundation, Inc.",Others,06/02/2021,06/02/2021,sanbedaalumni.org
366,"San Beda College Benedictine Educational Foundation, Inc.",Education - Supports Formal Schools/Students,05/20/2022,06/26/2022,https://www.sanbeda.edu.ph/category/post/benedictine-foundation
367,"San Lorenzo Ruiz Charity (SJDMC), Inc.",Education - Supports Formal Schools/Students,02/27/2020,02/26/2021,www.sanlorenzoruizcharity.org
368,"San Miguel Foundation, Inc.",Social Welfare and Development,06/26/2020,06/27/2023,www.sanmiguel.com.ph
369,"San Roque Power Foundation, Inc.",Social Welfare and Development,12/15/2022,12/15/2022,N/A
370,Sanctuario Nature Farms Corp.,Enterprise Development/Livelihood,06/02/2021,05/01/2022,https://www.facebook.com/sanctuarionaturefarms
371,"Sanctus Vincensus Scholarship Foundation, Inc.",Education - Supports Formal Schools/Students,06/15/2020,06/15/2020,www.spc-ormoc.edu.ph
372,"Save Palawan Seas Foundation, Inc.",Environment/Biodiversity,02/12/2020,08/23/2020,www.savepalawanseasfoundation.org
373,"SCTAN Foundation, Inc.",Social Welfare and Development,02/15/2020,03/20/2023,N/A
374,"Security Bank Foundation, Inc.",Others,12/31/2020,12/31/2020,www.securitybank.com
375,"Senators Gaudencio and Magnolia Antonino Foundation, Inc.",Education - Supports Formal Schools/Students,11/15/2020,12/12/2021,N/A
376,"SGV Foundation, Inc.",Social Welfare and Development,08/28/2020,08/28/2020,sgvfoundatioin.com.ph
377,"Shepherd’s Voice Radio and Television Foundation, Inc.",Religious,12/15/2020,12/15/2020,N/A
378,"Shining Light Foundation, Inc.",Health – public/community,06/22/2020,12/12/2021,http://shininglightfoundation.com/
379,"Sikat Solar Challenge Foundation, Inc.",Research,01/02/2021,08/28/2022,www.philsolarchallenge.org
380,Silliman University,Education - Formal School,08/28/2020,08/28/2020,www.su.edu.ph
381,"Silsilah Foundation, Inc.",Community Building/Development,05/15/2020,05/15/2020,N/A
382,"Simbahang Lingkod  ng Bayan, Inc.",Social Welfare and Development,03/17/2019,01/25/2022,www.slb.ph
383,"Simbayanan ni Maria Community Foundation, Inc.",Social Welfare and Development,05/15/2021,05/01/2022,https://simbayanancoop.org/
384,"Sister Clarette-Rosario Foundation, Inc.",Social Welfare and Development,09/30/2021,09/30/2021,www.scrfi.com
385,"SM Foundation, Inc.",Social Welfare and Development,12/31/2020,12/31/2020,www.sm-foundation.org
386,"SMCGP Philippines Power Foundation, Inc.",Education - Supports Formal Schools/Students,12/11/2019,12/10/2022,N/A
387,"Smile Train Philippines Foundation, Inc.",Health – public/community,10/15/2020,10/15/2020,https://www.smiletrain.ph/
388,"Sociedad Española de Beneficencia, Inc.",Others,12/31/2020,12/31/2020,www.sociedadespanoladebeneficencia.org
389,"Soil and Water Conservation Foundation, Inc.",Environment/Biodiversity,09/25/2018,03/20/2023,www.soilwatercebu.org
390,"Sr. Baptista Battig Music Foundation, Inc.",Others,05/08/2024,05/08/2024,ssc.edu.ph/battig
391,"St. James COPA Foundation, Inc.",Religious,08/06/2020,08/06/2020,N/A
392,"St. John’s Institute of Bacolod City, Inc.",Education - Formal School,03/31/2020,03/31/2020,N/A
393,"St. Joseph Foundation, Inc.",Others,08/15/2020,10/24/2023,N/A
394,"St. Joseph School – La Salle (Bacolod), Inc.",Education - Formal School,10/28/2020,10/28/2020,www.sjslsbacolod.org
395,"St. Luke’s Medical Center Foundation, Inc.",Health – public/community,05/27/2021,10/24/2021,stlukesmedicalcenterfoundation.org
396,"St. Stephen’s High School, Inc.",Education - Formal School,02/27/2020,02/26/2023,www.sshs.edu.ph
397,"St. Teresita’s Academy of Aritao, Inc.",Education - Formal School,06/13/2021,06/13/2021,N/A
398,"Stairway Foundation, Inc.",Social Welfare and Development,06/13/2021,06/13/2021,N/A
399,"Steps Dance Studio Scholarship Foundation, Inc.",Culture and Arts,12/31/2020,12/31/2020,N/A
400,"Students’ Transformation and Enrichment for Truth-Values Integration and Promotion (STET-VIP), Inc.",Education - Supports Formal Schools/Students,11/20/2020,11/20/2020,www.stetvip.org
401,"Sugbu Chinese Heritage Museum Foundation, Inc.",Culture and Arts,08/04/2020,08/04/2020,www.facebook.com/SugbuChineseHeritageMus
402,"Sun Life Financial-Philippines Foundation, Inc.",Social Welfare and Development,06/17/2020,06/17/2020,https://www.sunlife.com.ph/PH/About+us/Sun+Life+Foundation
403,"Sunwest Care Foundation, Inc.",Social Welfare and Development,08/30/2020,08/30/2020,N/A
404,"Synergeia Foundation, Inc.",Community Building/Development,09/04/2022,03/20/2023,www.synergeia.org.ph
405,"Tahanan ng Pagmamahal Children’s Home, Inc.",Social Welfare and Development,11/07/2022,01/22/2023,N/A
406,"Tan Yan Kee Foundation, Inc.",Social Welfare and Development,05/07/2020,05/07/2020,www.tanyankee.org
407,"Tanggol Kalikasan, Inc.",Environment/Biodiversity,04/12/2023,10/24/2023,www.tanggolkalikasan.org
408,"Tanging Yaman Foundation, Inc.",Social Welfare and Development,12/31/2020,08/22/2021,www.tangingyaman.org
409,"Tany Foundation, Inc.",Others,06/22/2020,09/27/2022,facebook.com/TanyFoundation/
410,"Tarlac Heritage  Foundation, Inc.",Culture and Arts,01/25/2020,01/25/2020,N/A
411,"Teach for the Philippines, Inc.",Education – Non-Formal/ALS,12/14/2021,12/14/2021,www.teachforthephilippines.org
412,"Team Energy Foundation, Inc.",Environment/Biodiversity,03/21/2022,03/21/2022,http://www.teamenergy.ph/csr01.php
413,"The Andres Soriano Foundation, Inc.",Social Welfare and Development,12/20/2021,06/28/2022,www.anscor.com.ph/foundation/foundation.
414,"The Bank of the Philippine Islands Foundation, Inc.",Community Building/Development,03/08/2021,11/12/2024,www.bpifoundation.org
415,"The Beacon Academy, Inc.",Education - Formal School,12/14/2021,12/14/2021,www.beaconacademy.ph
416,"The Cancer Resource and Wellness (Carewell) Community Foundation, Inc.",Health – specialized,05/26/2022,12/10/2024,www.carewellcommunity.org
417,"The Center for Art, New Ventures & Sustainable Development Corp. (CANVAS)",Culture and Arts,01/06/2021,01/06/2021,http://www.canvas.ph/
418,"The Eye Bank Foundation of the Philippines, Inc.",Health – specialized,02/27/2020,02/26/2025,https://eyebankphil.org/
419,"The Forum for Family Planning and Development, Inc.",Health – specialized,10/15/2020,10/15/2020,http://forumforfp.org/
420,"The Foundation for Professional Training, Inc.",Education – Technical/Vocational,06/06/2022,06/06/2022,N/A
421,"The Learning Center, Inc.",Education - Supports Formal Schools/Students,02/20/2022,02/20/2022,https://www.facebook.com/tlcinc75/
422,"The Mariposa Foundation, Inc.",Others,06/22/2020,06/27/2023,N/A
423,"The Philippine Foundation for Cultural and Educational Development, Inc.",Community Building/Development,08/17/2020,06/27/2023,N/A
424,"The Ramakrishna Vedanta Society of the Philippines, Inc.",Religious,10/15/2020,10/15/2020,www.vedanta-philippines.org
425,"The U.P. Medical Foundation, Inc.",Education - Supports Formal Schools/Students,08/19/2020,10/25/2022,N/A
426,"The University of the Philippines Foundation, Inc.",Others,10/29/2021,10/29/2021,upfoundation.org
427,"The Zuellig Family Foundation, Inc.",Social Welfare and Development,10/28/2020,10/28/2020,www.zuelligfoundation.org
428,"TORM Philippines Education Foundation, Inc.",Education - Supports Formal Schools/Students,02/07/2022,11/12/2022,N/A
429,"Toyota Motor Philippines School of Technology, Inc. Doing Business Under the Name and Style of TMP Tech",Education – Technical/Vocational,05/29/2020,02/21/2023,N/A
430,"Tropical Disease Foundation, Inc.",Research,05/29/2020,06/26/2022,www.tmptech.edu.ph
431,"Tuason Development Foundation, Inc.",Social Welfare and Development,05/16/2021,12/12/2021,N/A
432,"Tulay ng Kabataan Foundation, Inc.",Social Welfare and Development,12/27/2021,11/12/2022,tnkfoundation.org
433,"Tulong Medikal at Gabay Aral ng Sustamina (TUMBAS) Foundation, Inc.",Education - Supports Formal Schools/Students,12/04/2020,11/12/2022,N/A
434,"Tuloy Foundation, Inc.",Social Welfare and Development,11/11/2018,12/06/2021,www.tuloy.org
435,"U.P. Business Research Foundation, Inc.",Research,09/26/2021,07/24/2024,N/A
436,"U.P. Engineering Research & Dev’t. Foundation, Inc.",Research,12/31/2020,12/31/2020,N/A
437,"UCPB-CIIF Foundation, Inc.",Education - Supports Formal Schools/Students,03/31/2022,06/27/2023,www.cocofoundation.com
438,"Unilab Foundation, Inc.",Health – public/community,08/30/2022,08/30/2022,www.unilabfoundation.org
439,"Union Church of Manila Philippines Foundation, Inc.",Education - Supports Formal Schools/Students,07/07/2020,07/07/2020,www.ucmphilfoundation.org
440,"United Bayanihan Foundation, Inc.",Social Welfare and Development,08/28/2020,08/28/2020,N/A
441,"United Neon Foundation, Inc.",Community Building/Development,05/15/2022,06/26/2022,N/A
442,"University of Asia and the Pacific Foundation, Inc.",Education - Formal School,03/06/2023,03/06/2023,www.uap.asia
443,University of San Carlos,Education - Formal School,09/17/2019,11/12/2024,www.usc.edu.ph
444,"University of San Carlos-Water Resources Center Foundation, Inc.",Environment/Biodiversity,06/27/2019,06/26/2022,www.mail.usc.edu.ph
445,"University of San Jose-Recoletos, Inc.",Education - Formal School,11/08/2023,11/08/2023,www.usjr.edu.ph
446,"University of Southern Philippines Foundation, Inc.",Education - Formal School,11/20/2022,11/20/2022,www.uspd.edu.ph
447,"University of St. La Salle, Inc.",Education - Formal School,06/02/2021,06/02/2021,www.usls.edu.ph
448,"University of the Assumption, Inc.",Education - Formal School,09/10/2022,09/10/2022,www.ua.edu.ph
449,"University of the Philippines College of Law Alumni Foundation, Inc. aka U.P. Law Alumni Foundation",Others,02/11/2021,08/28/2022,N/A
450,"University of the Philippines Los Baños Foundation, Inc.",Research,12/11/2019,12/10/2024,www.uplbfi.org
451,"University of the Philippines Medical Alumni Foundation, Inc. (UPMAF)",Others,07/29/2020,05/15/2021,www.upmaf.com
452,"Uplift Cares Global Movement Foundation, Inc.",Social Welfare and Development,04/05/2022,04/05/2022,https://www.upliftcares.com/
453,"UST Research and Endowment Foundation, Inc.",Research,03/26/2020,09/27/2020,N/A
454,"Uygongco Foundation, Inc.",Social Welfare and Development,03/31/2020,02/26/2025,https://ufi.lafilgroup.com/
455,"Vicsal Foundation, Inc.",Social Welfare and Development,11/11/2021,11/11/2021,http://vicsalfoundation.com/
456,"Visions of Hope Foundation, Inc.",Social Welfare and Development,07/29/2022,03/20/2023,www.cct.org.ph
457,"Vivant Foundation, Inc.",Education – Technical/Vocational,08/15/2021,08/15/2021,N/A
458,"WeatherPhilippines Foundation, Inc.",Environment/Biodiversity,03/02/2022,03/02/2022,www.weatherph.org
459,"Welcome Home Foundation, Inc.",Social Welfare and Development,03/22/2021,07/26/2022,www.whfi.ph
460,"White Cross, Inc.",Social Welfare and Development,08/07/2020,02/27/2022,www.whitecross.ph
461,"Wong Chu King Foundation, Inc.",Education - Supports Formal Schools/Students,01/23/2020,01/22/2023,https://wckfoundation.org/
462,"World Vision Development Foundation, Inc.",Social Welfare and Development,08/28/2020,08/28/2020,www.worldvision.org.ph
463,"WS Family Foundation, Inc.",Others,11/08/2020,12/10/2022,N/A
464,"Xavier School (also known as Kuang Chi School), Inc.",Education - Formal School,11/07/2022,11/07/2022,xs.edu.ph
465,"Xavier School Educational and Trust Fund, Inc.",Education - Supports Formal Schools/Students,10/11/2021,10/11/2021,N/A
466,"Yakap sa Kaunlaran ng Bata, Inc.",Social Welfare and Development,08/15/2021,08/15/2021,N/A
467,"Young Men’s Christian Association of Makati (Rizal), Inc.",Community Building/Development,11/07/2020,11/07/2020,ymcamakati.com
468,"ZCHHHS Foundation, Inc.",Education - Supports Formal Schools/Students,06/17/2020,06/17/2020,N/A
